text,label
O cachorro latiu muito quando o carteiro chegou.,0
Viajei para o interior nas férias e vi meus avós.,0
"Hoje fui ao mercado e comprei frutas, legumes e pão.",0
Meu time ganhou o jogo por dois a zero.,0
Minha filha vai fazer aniversário na próxima semana.,0
O cachorro latiu muito quando o carteiro chegou.,0
O almoço de domingo foi delicioso como sempre.,0
Ontem assisti a um filme muito interessante na TV.,0
O almoço de domingo foi delicioso como sempre.,0
O cachorro latiu muito quando o carteiro chegou.,0
Fiz uma caminhada no parque e encontrei amigos.,0
Meu time ganhou o jogo por dois a zero.,0
Ontem assisti a um filme muito interessante na TV.,0
Viajei para o interior nas férias e vi meus avós.,0
O cachorro latiu muito quando o carteiro chegou.,0
Fiz uma caminhada no parque e encontrei amigos.,0
"Hoje fui ao mercado e comprei frutas, legumes e pão.",0
Viajei para o interior nas férias e vi meus avós.,0
Comprei uma bicicleta nova para passear nos finais de semana.,0
Meu time ganhou o jogo por dois a zero.,0
Comprei uma bicicleta nova para passear nos finais de semana.,0
Gosto de ler livros à tarde com uma xícara de chá.,0
Gosto de ler livros à tarde com uma xícara de chá.,0
Meu time ganhou o jogo por dois a zero.,0
Gosto de ler livros à tarde com uma xícara de chá.,0
Fiz uma caminhada no parque e encontrei amigos.,0
O cachorro latiu muito quando o carteiro chegou.,0
Fiz uma caminhada no parque e encontrei amigos.,0
Comprei uma bicicleta nova para passear nos finais de semana.,0
O cachorro latiu muito quando o carteiro chegou.,0
O cachorro latiu muito quando o carteiro chegou.,0
"Hoje fui ao mercado e comprei frutas, legumes e pão.",0
"Hoje fui ao mercado e comprei frutas, legumes e pão.",0
Minha filha vai fazer aniversário na próxima semana.,0
Gosto de ler livros à tarde com uma xícara de chá.,0
Comprei uma bicicleta nova para passear nos finais de semana.,0
"Hoje fui ao mercado e comprei frutas, legumes e pão.",0
Ontem assisti a um filme muito interessante na TV.,0
Viajei para o interior nas férias e vi meus avós.,0
Gosto de ler livros à tarde com uma xícara de chá.,0
Viajei para o interior nas férias e vi meus avós.,0
Comprei uma bicicleta nova para passear nos finais de semana.,0
Ontem assisti a um filme muito interessante na TV.,0
Meu time ganhou o jogo por dois a zero.,0
Comprei uma bicicleta nova para passear nos finais de semana.,0
Minha filha vai fazer aniversário na próxima semana.,0
Minha filha vai fazer aniversário na próxima semana.,0
Minha filha vai fazer aniversário na próxima semana.,0
Comprei uma bicicleta nova para passear nos finais de semana.,0
Gosto de ler livros à tarde com uma xícara de chá.,0
"Ontem eu... eu fui... não lembro... ali, com ele, sabe?",1
Fui caminhar... ou era ontem? Vi um bicho... cachorro?,1
"Minha mãe... ela... falou com o... ah, como é mesmo?",1
Fui caminhar... ou era ontem? Vi um bicho... cachorro?,1
Fui caminhar... ou era ontem? Vi um bicho... cachorro?,1
"O... o livro, ele... li... ou alguém leu pra mim?",1
O negócio foi... foi na... não sei o nome... lugar com... com comida.,1
O negócio foi... foi na... não sei o nome... lugar com... com comida.,1
Fui caminhar... ou era ontem? Vi um bicho... cachorro?,1
O negócio foi... foi na... não sei o nome... lugar com... com comida.,1
"Ontem eu... eu fui... não lembro... ali, com ele, sabe?",1
"Hoje é... terça? Não, era quinta? Eu saí, acho.",1
"Minha mãe... ela... falou com o... ah, como é mesmo?",1
"O... o livro, ele... li... ou alguém leu pra mim?",1
"Minha mãe... ela... falou com o... ah, como é mesmo?",1
"A menina... neta... ou filha? Ela me visitou, acho.",1
"O... o livro, ele... li... ou alguém leu pra mim?",1
"A menina... neta... ou filha? Ela me visitou, acho.",1
A televisão falou de... política? Ou novela? Não lembro bem.,1
A televisão falou de... política? Ou novela? Não lembro bem.,1
"Comprei... ou tentei... esqueci o que era, mas fui lá.",1
"Hoje é... terça? Não, era quinta? Eu saí, acho.",1
O negócio foi... foi na... não sei o nome... lugar com... com comida.,1
"Comprei... ou tentei... esqueci o que era, mas fui lá.",1
"A menina... neta... ou filha? Ela me visitou, acho.",1
A coisa... aquilo... eu comi... era bom... ou não?,1
"Ontem eu... eu fui... não lembro... ali, com ele, sabe?",1
O negócio foi... foi na... não sei o nome... lugar com... com comida.,1
"Comprei... ou tentei... esqueci o que era, mas fui lá.",1
"Hoje é... terça? Não, era quinta? Eu saí, acho.",1
"A menina... neta... ou filha? Ela me visitou, acho.",1
A televisão falou de... política? Ou novela? Não lembro bem.,1
"Comprei... ou tentei... esqueci o que era, mas fui lá.",1
"O... o livro, ele... li... ou alguém leu pra mim?",1
A coisa... aquilo... eu comi... era bom... ou não?,1
"Comprei... ou tentei... esqueci o que era, mas fui lá.",1
A televisão falou de... política? Ou novela? Não lembro bem.,1
"Ontem eu... eu fui... não lembro... ali, com ele, sabe?",1
"A menina... neta... ou filha? Ela me visitou, acho.",1
"Comprei... ou tentei... esqueci o que era, mas fui lá.",1
"O... o livro, ele... li... ou alguém leu pra mim?",1
O negócio foi... foi na... não sei o nome... lugar com... com comida.,1
A televisão falou de... política? Ou novela? Não lembro bem.,1
Fui caminhar... ou era ontem? Vi um bicho... cachorro?,1
"Hoje é... terça? Não, era quinta? Eu saí, acho.",1
"Ontem eu... eu fui... não lembro... ali, com ele, sabe?",1
"Comprei... ou tentei... esqueci o que era, mas fui lá.",1
"Ontem eu... eu fui... não lembro... ali, com ele, sabe?",1
Fui caminhar... ou era ontem? Vi um bicho... cachorro?,1
A coisa... aquilo... eu comi... era bom... ou não?,1
